offload_gb,output_len,n_files,median_tpot_ms,p95_file_tpot_ms,median_itl_ms,median_ttft_ms
0,32,30,20.687,22.356,20.341,59.892
0,64,30,20.675,22.356,20.503,63.075
0,128,30,20.723,22.493,20.629,63.159
2,32,30,251.999,256.694,248.057,577.623
2,64,30,252.088,256.823,250.093,580.450
2,128,30,252.165,257.009,251.154,579.767
4,32,30,484.294,492.139,476.702,1084.282
4,64,30,484.538,492.195,480.732,1101.516
4,128,30,484.665,492.416,482.758,1084.165
8,32,30,944.128,956.714,929.344,2134.943
8,64,30,944.542,957.245,937.095,2076.633
8,128,30,944.609,957.569,940.935,2074.681
12,32,30,1407.697,1426.220,1385.594,3081.678
12,64,30,1408.183,1426.879,1397.111,3079.393
12,128,30,1408.235,1427.313,1402.703,3080.613
16,32,30,1505.320,1524.697,1481.746,3298.542
16,64,30,1506.211,1525.624,1494.363,3300.138
16,128,30,1506.564,1524.964,1500.652,3301.178
