model,path,offload_gb,concurrency,output_len,repeat,json_valid,completed,failed,status,error
qwen,/home/rock/projects/DOS/new/runs/profile_grid_v2/qwen/offload0/qwen_offload0_conc12_in256_out128_run1.json,0,12,128,1,True,20,0,OK,
qwen,/home/rock/projects/DOS/new/runs/profile_grid_v2/qwen/offload0/qwen_offload0_conc12_in256_out128_run2.json,0,12,128,2,True,20,0,OK,
qwen,/home/rock/projects/DOS/new/runs/profile_grid_v2/qwen/offload0/qwen_offload0_conc12_in256_out128_run3.json,0,12,128,3,True,20,0,OK,
qwen,/home/rock/projects/DOS/new/runs/profile_grid_v2/qwen/offload0/qwen_offload0_conc12_in256_out128_run4.json,0,12,128,4,True,20,0,OK,
qwen,/home/rock/projects/DOS/new/runs/profile_grid_v2/qwen/offload0/qwen_offload0_conc12_in256_out128_run5.json,0,12,128,5,True,20,0,OK,
qwen,/home/rock/projects/DOS/new/runs/profile_grid_v2/qwen/offload0/qwen_offload0_conc12_in256_out32_run1.json,0,12,32,1,True,20,0,OK,
qwen,/home/rock/projects/DOS/new/runs/profile_grid_v2/qwen/offload0/qwen_offload0_conc12_in256_out32_run2.json,0,12,32,2,True,20,0,OK,
qwen,/home/rock/projects/DOS/new/runs/profile_grid_v2/qwen/offload0/qwen_offload0_conc12_in256_out32_run3.json,0,12,32,3,True,20,0,OK,
qwen,/home/rock/projects/DOS/new/runs/profile_grid_v2/qwen/offload0/qwen_offload0_conc12_in256_out32_run4.json,0,12,32,4,True,20,0,OK,
qwen,/home/rock/projects/DOS/new/runs/profile_grid_v2/qwen/offload0/qwen_offload0_conc12_in256_out32_run5.json,0,12,32,5,True,20,0,OK,
qwen,/home/rock/projects/DOS/new/runs/profile_grid_v2/qwen/offload0/qwen_offload0_conc12_in256_out64_run1.json,0,12,64,1,True,20,0,OK,
qwen,/home/rock/projects/DOS/new/runs/profile_grid_v2/qwen/offload0/qwen_offload0_conc12_in256_out64_run2.json,0,12,64,2,True,20,0,OK,
qwen,/home/rock/projects/DOS/new/runs/profile_grid_v2/qwen/offload0/qwen_offload0_conc12_in256_out64_run3.json,0,12,64,3,True,20,0,OK,
qwen,/home/rock/projects/DOS/new/runs/profile_grid_v2/qwen/offload0/qwen_offload0_conc12_in256_out64_run4.json,0,12,64,4,True,20,0,OK,
qwen,/home/rock/projects/DOS/new/runs/profile_grid_v2/qwen/offload0/qwen_offload0_conc12_in256_out64_run5.json,0,12,64,5,True,20,0,OK,
qwen,/home/rock/projects/DOS/new/runs/profile_grid_v2/qwen/offload0/qwen_offload0_conc16_in256_out128_run1.json,0,16,128,1,True,20,0,OK,
qwen,/home/rock/projects/DOS/new/runs/profile_grid_v2/qwen/offload0/qwen_offload0_conc16_in256_out128_run2.json,0,16,128,2,True,20,0,OK,
qwen,/home/rock/projects/DOS/new/runs/profile_grid_v2/qwen/offload0/qwen_offload0_conc16_in256_out128_run3.json,0,16,128,3,True,20,0,OK,
qwen,/home/rock/projects/DOS/new/runs/profile_grid_v2/qwen/offload0/qwen_offload0_conc16_in256_out128_run4.json,0,16,128,4,True,20,0,OK,
qwen,/home/rock/projects/DOS/new/runs/profile_grid_v2/qwen/offload0/qwen_offload0_conc16_in256_out128_run5.json,0,16,128,5,True,20,0,OK,
qwen,/home/rock/projects/DOS/new/runs/profile_grid_v2/qwen/offload0/qwen_offload0_conc16_in256_out32_run1.json,0,16,32,1,True,20,0,OK,
qwen,/home/rock/projects/DOS/new/runs/profile_grid_v2/qwen/offload0/qwen_offload0_conc16_in256_out32_run2.json,0,16,32,2,True,20,0,OK,
qwen,/home/rock/projects/DOS/new/runs/profile_grid_v2/qwen/offload0/qwen_offload0_conc16_in256_out32_run3.json,0,16,32,3,True,20,0,OK,
qwen,/home/rock/projects/DOS/new/runs/profile_grid_v2/qwen/offload0/qwen_offload0_conc16_in256_out32_run4.json,0,16,32,4,True,20,0,OK,
qwen,/home/rock/projects/DOS/new/runs/profile_grid_v2/qwen/offload0/qwen_offload0_conc16_in256_out32_run5.json,0,16,32,5,True,20,0,OK,
qwen,/home/rock/projects/DOS/new/runs/profile_grid_v2/qwen/offload0/qwen_offload0_conc16_in256_out64_run1.json,0,16,64,1,True,20,0,OK,
